Serving HTTP on 127.0.0.1 port 8080 (http://127.0.0.1:8080/) ...
127.0.0.1 - - [07/Jul/2026 13:45:58] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:46:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:46:31] "GET /img/Screenshot_2026-07-06_194749.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:46:31] "GET /img/Screenshot_2026-07-06_194824.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:46:31] "GET /img/Screenshot_2026-07-06_194611.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:46:31] "GET /img/Screenshot_2026-07-06_194737.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:46:31] "GET /img/Screenshot_2026-07-07_085821.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:46:31] "GET /img/Screenshot_2026-07-06_194920.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:46:31] "GET /img/Screenshot_2026-07-06_194937.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:46:31] "GET /img/Screenshot_2026-07-06_194902.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:46:31] "GET /img/Screenshot_2026-07-06_194848.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:46:31] "GET /img/Screenshot_2026-07-06_194958.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:46:32] code 404, message File not found
127.0.0.1 - - [07/Jul/2026 13:46:32] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [07/Jul/2026 13:47:08] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:47:08] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:47:08] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:47:08] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:47:08] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:47:08] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "GET /img/Screenshot_2026-07-06_194611.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "HEAD /img/Screenshot_2026-07-06_194611.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "GET /img/Screenshot_2026-07-06_194737.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "HEAD /img/Screenshot_2026-07-06_194737.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "GET /img/Screenshot_2026-07-06_194749.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "HEAD /img/Screenshot_2026-07-06_194749.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "GET /img/Screenshot_2026-07-06_194824.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "HEAD /img/Screenshot_2026-07-06_194824.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "GET /img/Screenshot_2026-07-06_194848.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "HEAD /img/Screenshot_2026-07-06_194848.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "GET /img/Screenshot_2026-07-06_194902.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "HEAD /img/Screenshot_2026-07-06_194902.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "GET /img/Screenshot_2026-07-06_194920.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "HEAD /img/Screenshot_2026-07-06_194920.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "GET /img/Screenshot_2026-07-06_194937.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "HEAD /img/Screenshot_2026-07-06_194937.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "GET /img/Screenshot_2026-07-06_194958.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "HEAD /img/Screenshot_2026-07-06_194958.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "GET /img/Screenshot_2026-07-07_085821.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "HEAD /img/Screenshot_2026-07-07_085821.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:10] "GET /img/Screenshot_2026-07-07_085821.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:11] "GET /img/Screenshot_2026-07-06_194611.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:11] "GET /img/Screenshot_2026-07-06_194737.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:11] "GET /img/Screenshot_2026-07-06_194749.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:11] "GET /img/Screenshot_2026-07-06_194824.png HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2026 13:48:11] "GET /img/Screenshot_2026-07-06_194920.png HTTP/1.1" 200 -
